Date,Title
2018-04-02,"Aiming to fill skill gaps in AI, Microsoft makes training courses available to the public"
2018-04-02,Former Microsoft exec hits out at carriers and OEMs for Windows Phone failure
2018-04-03,Microsoft acquires Forerunner Software's report-rendering technology
2018-04-04,Microsoft responds to new warrant for emails in Irish datacenter case
2018-04-04,Why Does Microsoft Charge $100 for Encryption When Everyone Else Gives It Away?
2018-04-04,Microsoft will invest $5 billion in IoT. Here’s why. - Internet of Things
2018-04-05,Microsoft is adding ransomware protection to its OneDrive cloud storage so you can restore files easily
2018-04-05,Microsoft 'HoloLens 2:' Everything we know so far
2018-04-05,Microsoft: We'll help customers create patents but we get a license to use them
2018-04-06,How did Office for Android use 1.3GB of mobile data in less than a week?
2018-04-06,Microsoft will bring 64-bit app support to ARM-based PCs in May
2018-04-07,Microsoft outage: Europe-wide downtime locks Office 365 and Azure users out of cloud
2018-04-07,"XiaoIce, Microsoft’s social chatbot in China, makes breakthrough in natural conversation"
2018-04-07,Clarifying Microsoft's Plans for 64-Bit Apps on Windows 10 on ARM
2018-04-07,I miss Windows Phone
2018-04-08,Is there a way to thank a Microsoft support agent or provide positive feedback for their help?
2018-04-08,Am I the only one that feels like Microsoft has the worst costumer support of all the billion dollar companies?
2018-04-08,Applying for jobs on the Career page of Microsoft
2018-04-09,I'm studying the MTA. What should I learn?
2018-04-09,"Microsoft's Project Zanzibar smart mat can bring toys, more into the digital world"
2018-04-11,Microsoft's Pushing More Engineers to Edge
2018-04-11,Anyone notice the silence around the new Dynamics 365 Business Central Offering?
2018-04-11,"Human empathy and creativity, combined with AI's intelligence, is the answer, says head of Microsoft EMEA"
2018-04-12,Microsoft and Apple Are the Most Trusted Tech Giants
2018-04-13,Microsoft Account Gets New Look With Fluent Design Update
2018-04-13,"‘I felt so alone’: What women at Microsoft face, and why many leave"
2018-04-13,**SCAM** BEWARE OF FAKE CALLS FROM MICROSOFT RELATING TO YOUR OUTBOUND TRAFFIC AND FIREWALL!
2018-04-13,"I love my surface book, but I just have to ask..."
2018-04-14,Microsoft Windows 10 gains Linux/WSL Console copy and paste functionality
2018-04-15,I tried a Windows tablet that runs on a Qualcomm smartphone processor — and boy did I miss Intel
2018-04-15,Microsoft launches Defending Democracy Program to protect against hacking and misinformation
2018-04-15,"Microsoft has given up 'significant sales' over concerns that the customer will use AI for evil, says a top scientist"
2018-04-16,"If I let my Office 365 subscription expire, will I get to keep 5GB of Basic storage?"
2018-04-16,"Three years later, Microsoft’s bet on Xbox One backward-compatible games is still paying off"
2018-04-16,Microsoft To-Do app still getting ready to replace Wunderlist
2018-04-16,Storing encrypted files in OneDrive: do you think Microsoft has/will ever have a problem with this?
2018-04-17,Are there plans to integrate translation into Edge instead of an extension?
2018-04-17,Microsoft Office Preview Version 1804 is out with new features
2018-04-17,How many OneDrive accounts can you run on one PC?
2018-04-17,"Microsoft, Facebook and Symantec are among 34 companies pledging not to help governments launch cyberattacks"
